MDLSCN	Category
GCAM 4.2-SSP2-45	Above2C
GCAM 4.2-SSP2-60	Above2C
GCAM 4.2-SSP2-Baseline	Above2C
GCAM 4.2-SSP3-Baseline	Above2C
GCAM 4.2-SSP4-26	excluded
GCAM 4.2-SSP4-34	Above2C
GCAM 4.2-SSP4-45	Above2C
GCAM 4.2-SSP4-60	Above2C
GCAM 4.2-SSP4-Baseline	Above2C
GCAM 4.2-SSP5-19	15C
GCAM 4.2-SSP5-26	excluded
GCAM 4.2-SSP5-34	Above2C
GCAM 4.2-SSP5-45	Above2C
GCAM 4.2-SSP5-60	Above2C
GCAM 4.2-SSP5-Baseline	Above2C
GENeSYS-MOD 1.0-1.0	excluded
IEA Energy Technology Perspective Model 2017-B2DS	excluded
IEA World Energy Model 2017-Faster Transition Scenario	excluded
IMAGE 3.0.1-ADVANCE_2020_1.5C-2100	15C
IMAGE 3.0.1-ADVANCE_2020_Med2C	excluded
IMAGE 3.0.1-ADVANCE_2020_WB2C	2C
IMAGE 3.0.1-ADVANCE_2030_Med2C	excluded
IMAGE 3.0.1-ADVANCE_2030_WB2C	2C
IMAGE 3.0.1-ADVANCE_INDC	Above2C
IMAGE 3.0.1-ADVANCE_NoPolicy	Above2C
IMAGE 3.0.1-ADVANCE_Reference	Above2C
IMAGE 3.0.1-CD-LINKS_INDCi	Above2C
IMAGE 3.0.1-CD-LINKS_NPi	Above2C
IMAGE 3.0.1-CD-LINKS_NPi2020_1000	2C
IMAGE 3.0.1-CD-LINKS_NPi2020_1600	excluded
IMAGE 3.0.1-CD-LINKS_NPi2020_400	15C
IMAGE 3.0.1-CD-LINKS_NoPolicy	Above2C
IMAGE 3.0.1-IMA15-AGInt	15C
IMAGE 3.0.1-IMA15-Def	15C
IMAGE 3.0.1-IMA15-Eff	15C
IMAGE 3.0.1-IMA15-LiStCh	15C
IMAGE 3.0.1-IMA15-LoNCO2	15C
IMAGE 3.0.1-IMA15-Pop	15C
IMAGE 3.0.1-IMA15-RenElec	15C
IMAGE 3.0.1-IMA15-TOT	15C
IMAGE 3.0.1-SSP1-19	15C
IMAGE 3.0.1-SSP1-26	2C
IMAGE 3.0.1-SSP1-34	Above2C
IMAGE 3.0.1-SSP1-45	Above2C
IMAGE 3.0.1-SSP1-Baseline	Above2C
IMAGE 3.0.1-SSP2-26	2C
IMAGE 3.0.1-SSP2-34	Above2C
IMAGE 3.0.1-SSP2-45	Above2C
IMAGE 3.0.1-SSP2-60	Above2C
IMAGE 3.0.1-SSP2-Baseline	Above2C
IMAGE 3.0.1-SSP3-34	Above2C
IMAGE 3.0.1-SSP3-45	Above2C
IMAGE 3.0.1-SSP3-60	Above2C
IMAGE 3.0.1-SSP3-Baseline	Above2C
IMAGE 3.0.1-SSP4-26	2C
IMAGE 3.0.1-SSP4-34	Above2C
IMAGE 3.0.1-SSP4-45	Above2C
IMAGE 3.0.1-SSP4-60	Above2C
IMAGE 3.0.1-SSP4-Baseline	Above2C
IMAGE 3.0.1-SSP5-34	Above2C
IMAGE 3.0.1-SSP5-45	Above2C
IMAGE 3.0.1-SSP5-60	Above2C
IMAGE 3.0.1-SSP5-Baseline	Above2C
IMAGE 3.0.2-EMF33_Baseline	Above2C
IMAGE 3.0.2-EMF33_Med2C_cost100	Above2C
IMAGE 3.0.2-EMF33_Med2C_full	Above2C
IMAGE 3.0.2-EMF33_Med2C_limbio	Above2C
IMAGE 3.0.2-EMF33_Med2C_nobeccs	Above2C
IMAGE 3.0.2-EMF33_Med2C_nofuel	Above2C
IMAGE 3.0.2-EMF33_Med2C_none	Above2C
IMAGE 3.0.2-EMF33_WB2C_cost100	excluded
IMAGE 3.0.2-EMF33_WB2C_full	excluded
IMAGE 3.0.2-EMF33_WB2C_limbio	excluded
IMAGE 3.0.2-EMF33_WB2C_nobeccs	excluded
IMAGE 3.0.2-EMF33_WB2C_nofuel	excluded
IMAGE 3.0.2-EMF33_tax_hi_full	excluded
IMAGE 3.0.2-EMF33_tax_hi_none	Above2C
IMAGE 3.0.2-EMF33_tax_lo_full	Above2C
IMAGE 3.0.2-EMF33_tax_lo_none	Above2C
MERGE-ETL 6.0-BAU	Above2C
MERGE-ETL 6.0-DAC15_50	15C
MERGE-ETL 6.0-DAC2_66	excluded
MESSAGE V.3-GEA_Eff_1p5C	2C
MESSAGE V.3-GEA_Eff_1p5C_Delay2020	2C
MESSAGE V.3-GEA_Eff_2C_Delay2020	excluded
MESSAGE V.3-GEA_Eff_AdvNCO2_1p5C	2C
MESSAGE V.3-GEA_Eff_base	Above2C
MESSAGE V.3-GEA_Mix_1p5C_AdvNCO2_PartialDelay2020	2C
MESSAGE V.3-GEA_Mix_1p5C_AdvTrans_PartialDelay2020	2C
MESSAGE V.3-GEA_Mix_2C_AdvNCO2_PartialDelay2020	excluded
MESSAGE V.3-GEA_Mix_2C_AdvTrans_PartialDelay2020	excluded
MESSAGE V.3-GEA_Mix_base	Above2C
MESSAGE-GLOBIOM 1.0-ADVANCE_2020_1.5C-2100	15C
MESSAGE-GLOBIOM 1.0-ADVANCE_2020_Med2C	excluded
MESSAGE-GLOBIOM 1.0-ADVANCE_2020_WB2C	2C
MESSAGE-GLOBIOM 1.0-ADVANCE_2030_Med2C	excluded
MESSAGE-GLOBIOM 1.0-ADVANCE_2030_Price1.5C	15C
MESSAGE-GLOBIOM 1.0-ADVANCE_2030_WB2C	2C
MESSAGE-GLOBIOM 1.0-ADVANCE_INDC	Above2C
MESSAGE-GLOBIOM 1.0-ADVANCE_NoPolicy	Above2C
MESSAGE-GLOBIOM 1.0-ADVANCE_Reference	Above2C
MESSAGE-GLOBIOM 1.0-EMF33_1.5C_cost100	15C
MESSAGE-GLOBIOM 1.0-EMF33_1.5C_full	15C
MESSAGE-GLOBIOM 1.0-EMF33_Baseline	Above2C
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_cost100	excluded
MESSAGE-GLOBIOM 1.0-EMF33_Med2C_full	excluded
